Wall: ,43.0,80.0,421.0,110.0
Wall: ,420.0,110.0,555.0,241.0
Wall: ,38.0,183.0,330.0,213.0
Wall: ,329.0,215.0,454.0,327.0
Wall: ,555.0,242.0,794.0,203.0
Wall: ,447.0,318.0,505.0,367.0
Wall: ,505.0,367.0,809.0,306.0
Wall: ,787.0,201.0,1066.0,143.0
Wall: ,1066.0,143.0,1238.0,333.0
Wall: ,803.0,311.0,1009.0,256.0
Wall: ,1236.0,329.0,1236.0,545.0
Wall: ,902.0,476.0,1240.0,545.0
Wall: ,567.0,430.0,911.0,342.0
Wall: ,602.0,547.0,902.0,479.0
Wall: ,262.0,344.0,569.0,434.0
Wall: ,202.0,454.0,617.0,548.0
Wall: ,905.0,344.0,999.0,257.0
Checkpoint: ,171.0,197.0,192.0,87.0
Checkpoint: ,198.0,200.0,222.0,92.0
Checkpoint: ,225.0,202.0,250.0,95.0
Checkpoint: ,262.0,207.0,290.0,100.0
Checkpoint: ,292.0,213.0,328.0,103.0
Checkpoint: ,338.0,229.0,442.0,126.0
Checkpoint: ,359.0,246.0,460.0,143.0
Checkpoint: ,374.0,266.0,479.0,160.0
Checkpoint: ,388.0,287.0,498.0,179.0
Checkpoint: ,426.0,304.0,525.0,206.0
Checkpoint: ,583.0,349.0,600.0,232.0
Checkpoint: ,617.0,347.0,632.0,234.0
Checkpoint: ,649.0,340.0,669.0,223.0
Checkpoint: ,689.0,334.0,720.0,212.0
Checkpoint: ,727.0,325.0,757.0,207.0
Checkpoint: ,777.0,317.0,801.0,202.0
Checkpoint: ,816.0,305.0,847.0,186.0
Checkpoint: ,863.0,292.0,891.0,180.0
Checkpoint: ,924.0,282.0,952.0,170.0
Checkpoint: ,962.0,354.0,1007.0,503.0
Checkpoint: ,903.0,344.0,943.0,491.0
Checkpoint: ,824.0,365.0,870.0,490.0
Checkpoint: ,768.0,370.0,826.0,502.0
Checkpoint: ,718.0,388.0,770.0,512.0
Checkpoint: ,672.0,404.0,729.0,524.0
Checkpoint: ,616.0,416.0,674.0,533.0
Checkpoint: ,477.0,518.0,557.0,428.0
Checkpoint: ,433.0,511.0,521.0,419.0
Checkpoint: ,381.0,497.0,465.0,400.0
Checkpoint: ,351.0,482.0,422.0,392.0
Checkpoint: ,315.0,478.0,392.0,381.0
Checkpoint: ,274.0,470.0,346.0,370.0
Checkpoint: ,233.0,463.0,300.0,355.0
Checkpoint: ,999.0,255.0,1064.0,142.0
Starting Position: ,134.48762569467397,116.19312253356179,266.76552763248833
