96.0,128.0,473.0,36.0
119.0,188.0,489.0,91.0
468.0,34.0,1008.0,61.0
485.0,92.0,995.0,124.0
992.0,126.0,1100.0,226.0
1004.0,63.0,1204.0,156.0
1204.0,155.0,1204.0,457.0
837.0,266.0,1204.0,457.0
1092.0,305.0,1092.0,224.0
899.0,203.0,1092.0,305.0
570.0,156.0,899.0,203.0
629.0,381.0,847.0,270.0
493.0,437.0,575.0,155.0
493.0,437.0,780.0,523.0
633.0,380.0,826.0,443.0
825.0,443.0,1184.0,561.0
759.0,679.0,1182.0,562.0
767.0,518.0,864.0,552.0
519.0,595.0,858.0,550.0
210.0,426.0,520.0,595.0
122.0,188.0,218.0,431.0
317.0,673.0,773.0,677.0
45.0,415.0,317.0,673.0
13.0,151.0,49.0,420.0
13.0,151.0,110.0,126.0
